score kills time
284.07 6 218
-41.94 0 101
78.45 2 114
106.04 3 117
80.71 2 106
259.68 5 155
189.14 4 137
298.56 6 201
325.52 7 183
364.13 7 220
50.38 2 95
400.57 7 268
102.74 2 257
432.35 9 244
425.52 9 183
239.1 5 219
309.73 6 240
182.84 4 177
230.4 5 179
360.4 7 179
-75.5 0 149
243.68 4 205
232.6 4 169
227.72 5 173
82.57 3 168
116.46 3 131
106.73 3 140
-83.42 0 135
11.28 1 125
216.4 4 129
